component_id,machine_id,timestamp,dimension_name,expected_value,actual_value,tolerance,deviation,result,severity
CNC-2508,CNC-03,2026-09-05 04:00:00,Outer Diameter,25.0,25.013,0.1,0.013,PASS,Nominal
CNC-2505,CNC-02,2026-09-05 05:00:00,Outer Diameter,25.0,25.037,0.1,0.037,PASS,Nominal
CNC-2522,CNC-08,2026-09-05 06:00:00,Outer Diameter,25.0,24.992,0.1,-0.008,PASS,Nominal
CNC-2520,CNC-07,2026-09-05 07:00:00,Outer Diameter,25.0,25.021,0.1,0.021,PASS,Nominal
CNC-2502,CNC-01,2026-09-05 07:00:00,Outer Diameter,25.0,24.989,0.1,-0.011,PASS,Nominal
CNC-2506,CNC-02,2026-09-05 07:00:00,Outer Diameter,25.0,24.991,0.1,-0.009,PASS,Nominal
CNC-2509,CNC-03,2026-09-05 07:00:00,Outer Diameter,25.0,25.009,0.1,0.009,PASS,Nominal
CNC-2513,CNC-05,2026-09-05 07:00:00,Outer Diameter,25.0,25.057,0.1,0.057,PASS,Nominal
CNC-2519,CNC-07,2026-09-05 08:00:00,Outer Diameter,25.0,25.02,0.1,0.02,PASS,Nominal
CNC-2514,CNC-05,2026-09-05 08:00:00,Outer Diameter,25.0,24.99,0.1,-0.01,PASS,Nominal
CNC-2504,CNC-02,2026-09-05 09:00:00,Outer Diameter,25.0,25.056,0.1,0.056,PASS,Nominal
CNC-2521,CNC-07,2026-09-05 10:00:00,Outer Diameter,25.0,25.019,0.1,0.019,PASS,Nominal
CNC-2516,CNC-06,2026-09-05 10:00:00,Outer Diameter,25.0,25.034,0.1,0.034,PASS,Nominal
CNC-2501,CNC-01,2026-09-05 10:00:00,Outer Diameter,25.0,25.019,0.1,0.019,PASS,Nominal
CNC-2512,CNC-04,2026-09-05 10:00:00,Outer Diameter,25.0,24.985,0.1,-0.015,PASS,Nominal
CNC-2511,CNC-04,2026-09-05 11:00:00,Outer Diameter,25.0,24.994,0.1,-0.006,PASS,Nominal
CNC-2503,CNC-01,2026-09-05 11:00:00,Outer Diameter,25.0,25.001,0.1,0.001,PASS,Nominal
CNC-2518,CNC-06,2026-09-05 11:00:00,Outer Diameter,25.0,25.026,0.1,0.026,PASS,Nominal
CNC-2524,CNC-08,2026-09-05 12:00:00,Outer Diameter,25.0,25.025,0.1,0.025,PASS,Nominal
CNC-2523,CNC-08,2026-09-05 12:00:00,Outer Diameter,25.0,25.022,0.1,0.022,PASS,Nominal
CNC-2515,CNC-05,2026-09-05 12:00:00,Outer Diameter,25.0,25.022,0.1,0.022,PASS,Nominal
CNC-2510,CNC-04,2026-09-05 12:00:00,Outer Diameter,25.0,24.991,0.1,-0.009,PASS,Nominal
CNC-2507,CNC-03,2026-09-05 12:00:00,Outer Diameter,25.0,24.972,0.1,-0.028,PASS,Nominal
CNC-2517,CNC-06,2026-09-05 12:00:00,Outer Diameter,25.0,25.039,0.1,0.039,PASS,Nominal
