timestamp,machine_id,spindle_speed,feed_rate,vibration,temperature,power_consumption,tool_id,cycle_count,machine_status
2026-09-11 16:00:00,CNC-08,5924,1269,1.423,37.39,3.82,T-05,761,Running
2026-09-11 16:00:00,CNC-07,6108,1184,1.581,37.92,4.23,T-17,779,Running
2026-09-11 16:00:00,CNC-06,5973,1239,1.372,41.71,5.18,T-18,579,Running
2026-09-11 16:00:00,CNC-05,6081,1195,1.002,37.86,3.94,T-18,877,Running
2026-09-11 16:00:00,CNC-04,5896,1190,1.359,36.91,3.89,T-08,827,Running
2026-09-11 16:00:00,CNC-03,6012,1217,3.521,40.39,4.56,T-18,692,Warning
2026-09-11 16:00:00,CNC-02,6006,1230,1.661,38.72,4.18,T-09,220,Running
2026-09-11 16:00:00,CNC-01,6208,1166,1.256,37.39,4.61,T-01,1212,Running
2026-09-11 18:00:00,CNC-08,5909,1181,1.55,37.05,4.08,T-09,1123,Running
2026-09-11 18:00:00,CNC-01,5940,1232,1.301,39.43,4.5,T-09,955,Running
2026-09-11 18:00:00,CNC-02,6097,1184,1.048,40.92,4.06,T-04,252,Running
2026-09-11 18:00:00,CNC-03,6185,1185,3.363,40.76,5.02,T-07,355,Warning
2026-09-11 18:00:00,CNC-04,5902,1225,1.516,36.77,4.32,T-04,284,Running
2026-09-11 18:00:00,CNC-05,6188,1162,1.263,34.99,4.5,T-11,225,Running
2026-09-11 18:00:00,CNC-06,5902,1166,1.288,41.65,5.07,T-05,1091,Running
2026-09-11 18:00:00,CNC-07,5941,1201,1.026,38.69,4.12,T-18,1190,Running
2026-09-11 20:00:00,CNC-08,5922,1191,1.229,38.25,4.07,T-05,688,Running
2026-09-11 20:00:00,CNC-07,5706,1201,1.342,36.49,4.32,T-08,340,Running
2026-09-11 20:00:00,CNC-06,6279,1223,1.217,39.04,4.88,T-09,367,Running
2026-09-11 20:00:00,CNC-05,5883,1200,1.132,37.84,4.02,T-13,870,Running
2026-09-11 20:00:00,CNC-03,5982,1233,3.781,39.73,5.31,T-13,538,Warning
2026-09-11 20:00:00,CNC-02,5881,1202,1.601,38.54,4.21,T-14,651,Running
2026-09-11 20:00:00,CNC-01,6008,1170,1.359,36.4,4.48,T-19,240,Running
2026-09-11 20:00:00,CNC-04,5962,1202,1.189,37.1,3.99,T-01,371,Running
2026-09-11 22:00:00,CNC-08,5771,1231,1.26,36.29,3.89,T-18,1154,Running
2026-09-11 22:00:00,CNC-07,5823,1228,1.37,38.86,4.16,T-18,365,Running
2026-09-11 22:00:00,CNC-06,5985,1226,1.472,41.87,4.9,T-09,1100,Running
2026-09-11 22:00:00,CNC-05,5844,1158,1.093,37.7,3.72,T-16,1121,Running
2026-09-11 22:00:00,CNC-04,5933,1205,1.093,35.16,4.34,T-15,1233,Running
2026-09-11 22:00:00,CNC-03,5690,1139,3.34,42.58,4.63,T-08,448,Warning
2026-09-11 22:00:00,CNC-02,5961,1198,1.329,40.86,4.76,T-14,648,Running
2026-09-11 22:00:00,CNC-01,6006,1201,1.208,39.75,4.92,T-16,1018,Running
2026-09-12 00:00:00,CNC-06,5886,1247,1.439,39.31,4.77,T-03,781,Running
2026-09-12 00:00:00,CNC-01,5907,1177,1.162,38.34,4.39,T-18,603,Running
2026-09-12 00:00:00,CNC-02,5917,1214,1.668,39.05,4.44,T-10,1238,Running
2026-09-12 00:00:00,CNC-03,5767,1181,3.287,43.37,4.76,T-05,592,Warning
2026-09-12 00:00:00,CNC-04,6036,1160,1.216,37.23,4.26,T-18,200,Running
2026-09-12 00:00:00,CNC-08,6063,1243,1.245,35.55,3.98,T-03,1132,Running
2026-09-12 00:00:00,CNC-07,6013,1142,1.316,38.99,4.49,T-08,835,Running
2026-09-12 00:00:00,CNC-05,5985,1247,0.89,37.44,3.56,T-11,1152,Running
2026-09-12 02:00:00,CNC-03,6022,1180,3.726,43.57,4.95,T-08,746,Warning
2026-09-12 02:00:00,CNC-04,6003,1206,1.318,36.77,4.52,T-15,916,Running
2026-09-12 02:00:00,CNC-05,5979,1180,0.958,38.91,4.2,T-07,1016,Running
2026-09-12 02:00:00,CNC-08,6273,1200,1.089,36.94,4.19,T-13,589,Running
2026-09-12 02:00:00,CNC-07,5896,1171,1.424,39.01,4.27,T-09,278,Running
2026-09-12 02:00:00,CNC-02,5905,1157,1.539,39.75,3.95,T-06,880,Running
2026-09-12 02:00:00,CNC-06,6073,1196,1.382,41.55,4.75,T-18,878,Running
2026-09-12 02:00:00,CNC-01,6183,1213,1.298,37.6,4.73,T-14,516,Running
2026-09-12 04:00:00,CNC-04,6032,1194,1.154,36.59,4.09,T-07,740,Running
2026-09-12 04:00:00,CNC-07,6073,1243,1.226,37.86,4.45,T-02,956,Running
2026-09-12 04:00:00,CNC-01,5838,1132,1.14,38.51,4.7,T-03,700,Running
2026-09-12 04:00:00,CNC-02,6051,1194,1.114,38.75,3.92,T-17,216,Running
2026-09-12 04:00:00,CNC-03,5968,1162,3.653,42.38,4.81,T-05,741,Warning
2026-09-12 04:00:00,CNC-08,6166,1231,1.041,37.23,3.98,T-02,932,Running
2026-09-12 04:00:00,CNC-05,6245,1217,1.23,37.1,4.48,T-14,766,Running
2026-09-12 04:00:00,CNC-06,5975,1184,1.638,43.21,5.19,T-14,219,Running
2026-09-12 06:00:00,CNC-07,6073,1203,1.447,39.47,3.75,T-09,1010,Running
2026-09-12 06:00:00,CNC-06,5949,1177,1.608,40.62,4.98,T-19,1270,Running
2026-09-12 06:00:00,CNC-05,5983,1238,1.282,36.24,3.94,T-13,445,Running
2026-09-12 06:00:00,CNC-04,6217,1224,1.23,37.77,4.02,T-17,364,Running
2026-09-12 06:00:00,CNC-03,5928,1210,3.599,41.59,4.74,T-18,324,Warning
2026-09-12 06:00:00,CNC-02,6154,1192,1.575,40.07,4.37,T-18,1196,Running
2026-09-12 06:00:00,CNC-01,5870,1133,1.317,37.91,4.56,T-13,204,Running
2026-09-12 06:00:00,CNC-08,5973,1269,1.192,37.74,3.88,T-20,404,Running
2026-09-12 08:00:00,CNC-03,6029,1184,3.607,43.36,4.91,T-19,1168,Warning
2026-09-12 08:00:00,CNC-04,5901,1164,1.182,37.76,4.04,T-14,1156,Running
2026-09-12 08:00:00,CNC-02,5851,1203,1.416,38.53,4.18,T-11,345,Running
2026-09-12 08:00:00,CNC-05,6049,1183,1.063,34.67,4.13,T-02,1024,Running
2026-09-12 08:00:00,CNC-07,5728,1252,1.842,39.63,4.64,T-18,400,Running
2026-09-12 08:00:00,CNC-06,6194,1224,1.481,38.62,4.92,T-06,770,Running
2026-09-12 08:00:00,CNC-01,5959,1206,1.185,37.92,4.48,T-01,671,Running
2026-09-12 08:00:00,CNC-08,5966,1206,1.07,36.17,3.82,T-06,1032,Running
2026-09-12 10:00:00,CNC-07,5816,1193,1.636,37.59,4.31,T-20,1066,Running
