maintenance_id,machine_id,tool_id,date,maintenance_type,cycle_count,technician_note,status
MNT-1001,CNC-01,T-01,2026-03-21,Routine Inspection,1478,Routine routine inspection performed according to standard SOP.,Completed
MNT-1002,CNC-01,T-18,2026-03-28,Routine Inspection,1423,Routine routine inspection performed according to standard SOP.,Completed
MNT-1003,CNC-01,T-10,2026-04-06,Tool Replacement,1293,Routine tool replacement performed according to standard SOP.,Completed
MNT-1004,CNC-01,T-11,2026-04-17,Axis Calibration,1455,Routine axis calibration performed according to standard SOP.,Completed
MNT-1005,CNC-01,T-09,2026-04-24,Axis Calibration,1471,Routine axis calibration performed according to standard SOP.,Completed
MNT-1006,CNC-01,T-07,2026-05-03,Spindle Lubrication,1329,Routine spindle lubrication performed according to standard SOP.,Completed
MNT-1007,CNC-01,T-02,2026-05-13,Routine Inspection,1213,Routine routine inspection performed according to standard SOP.,Completed
MNT-1008,CNC-01,T-05,2026-05-21,Tool Replacement,1471,Routine tool replacement performed according to standard SOP.,Completed
MNT-1009,CNC-01,T-10,2026-05-29,Axis Calibration,1228,Routine axis calibration performed according to standard SOP.,Completed
MNT-1010,CNC-01,T-13,2026-06-07,Tool Replacement,1397,Routine tool replacement performed according to standard SOP.,Completed
MNT-1011,CNC-01,T-07,2026-06-15,Axis Calibration,1543,Routine axis calibration performed according to standard SOP.,Completed
MNT-1012,CNC-01,T-18,2026-06-27,Coolant Filter Replacement,1487,Routine coolant filter replacement performed according to standard SOP.,Completed
MNT-1013,CNC-01,T-17,2026-07-05,Axis Calibration,974,Routine axis calibration performed according to standard SOP.,Completed
MNT-1014,CNC-01,T-06,2026-07-12,Axis Calibration,899,Routine axis calibration performed according to standard SOP.,Completed
MNT-1015,CNC-01,T-05,2026-07-22,Axis Calibration,1542,Routine axis calibration performed according to standard SOP.,Completed
MNT-1016,CNC-01,T-06,2026-07-30,Axis Calibration,1470,Routine axis calibration performed according to standard SOP.,Completed
MNT-1017,CNC-01,T-08,2026-08-12,Axis Calibration,1028,Routine axis calibration performed according to standard SOP.,Completed
MNT-1018,CNC-01,T-14,2026-08-19,Axis Calibration,1180,Routine axis calibration performed according to standard SOP.,Completed
MNT-1019,CNC-02,T-19,2026-03-19,Axis Calibration,1274,Routine axis calibration performed according to standard SOP.,Completed
MNT-1020,CNC-02,T-16,2026-03-30,Tool Replacement,1449,Routine tool replacement performed according to standard SOP.,Completed
MNT-1021,CNC-02,T-19,2026-04-04,Routine Inspection,872,Routine routine inspection performed according to standard SOP.,Completed
MNT-1022,CNC-02,T-07,2026-04-14,Routine Inspection,922,Routine routine inspection performed according to standard SOP.,Completed
MNT-1023,CNC-02,T-17,2026-04-23,Axis Calibration,1223,Routine axis calibration performed according to standard SOP.,Completed
MNT-1024,CNC-02,T-05,2026-05-05,Spindle Lubrication,1005,Routine spindle lubrication performed according to standard SOP.,Completed
MNT-1025,CNC-02,T-14,2026-05-12,Routine Inspection,1268,Routine routine inspection performed according to standard SOP.,Completed
MNT-1026,CNC-02,T-11,2026-05-22,Spindle Lubrication,882,Routine spindle lubrication performed according to standard SOP.,Completed
MNT-1027,CNC-02,T-11,2026-05-29,Spindle Lubrication,1120,Routine spindle lubrication performed according to standard SOP.,Completed
MNT-1028,CNC-02,T-01,2026-06-10,Coolant Filter Replacement,1080,Routine coolant filter replacement performed according to standard SOP.,Completed
MNT-1029,CNC-02,T-06,2026-06-18,Routine Inspection,962,Routine routine inspection performed according to standard SOP.,Completed
MNT-1030,CNC-02,T-03,2026-06-25,Spindle Lubrication,1429,Routine spindle lubrication performed according to standard SOP.,Completed
MNT-1031,CNC-02,T-14,2026-07-04,Coolant Filter Replacement,1239,Routine coolant filter replacement performed according to standard SOP.,Completed
MNT-1032,CNC-02,T-13,2026-07-13,Tool Replacement,838,Routine tool replacement performed according to standard SOP.,Completed
MNT-1033,CNC-02,T-07,2026-07-21,Axis Calibration,814,Routine axis calibration performed according to standard SOP.,Completed
MNT-1034,CNC-02,T-17,2026-08-01,Spindle Lubrication,818,Routine spindle lubrication performed according to standard SOP.,Completed
MNT-1035,CNC-02,T-08,2026-08-12,Spindle Lubrication,1510,Routine spindle lubrication performed according to standard SOP.,Completed
MNT-1036,CNC-02,T-10,2026-08-19,Spindle Lubrication,905,Routine spindle lubrication performed according to standard SOP.,Completed
MNT-1037,CNC-03,T-17,2026-03-18,Routine Inspection,1113,Routine routine inspection performed according to standard SOP.,Completed
MNT-1038,CNC-03,T-03,2026-03-29,Tool Replacement,1105,Routine tool replacement performed according to standard SOP.,Completed
