component_id,machine_id,spindle_speed,feed_rate,depth_of_cut,coolant_temperature,tool_id
CNC-2501,CNC-01,6110,1214,2.5,20.9,T-20
CNC-2502,CNC-01,5964,1206,2.5,22.1,T-20
CNC-2503,CNC-01,6009,1182,2.5,20.0,T-03
CNC-2504,CNC-02,5983,1202,2.5,22.9,T-08
CNC-2505,CNC-02,5978,1197,2.5,20.8,T-18
CNC-2506,CNC-02,5950,1191,2.5,22.8,T-08
CNC-2507,CNC-03,5834,1187,2.5,22.4,T-20
CNC-2508,CNC-03,6030,1201,2.5,22.3,T-01
CNC-2509,CNC-03,6000,1205,2.5,23.2,T-20
CNC-2510,CNC-04,6060,1211,2.5,19.9,T-11
CNC-2511,CNC-04,6059,1203,2.5,22.1,T-10
CNC-2512,CNC-04,5994,1183,2.5,20.1,T-12
CNC-2513,CNC-05,5991,1207,2.5,21.6,T-07
CNC-2514,CNC-05,6108,1197,2.5,23.0,T-04
CNC-2515,CNC-05,6017,1227,2.5,21.5,T-03
CNC-2516,CNC-06,5960,1219,2.5,22.3,T-07
CNC-2517,CNC-06,5928,1162,2.5,22.4,T-14
CNC-2518,CNC-06,6011,1207,2.5,23.4,T-05
CNC-2519,CNC-07,6017,1175,2.5,21.6,T-06
CNC-2520,CNC-07,5900,1181,2.5,22.6,T-19
CNC-2521,CNC-07,5991,1201,2.5,22.2,T-13
CNC-2522,CNC-08,5984,1175,2.5,19.8,T-04
CNC-2523,CNC-08,6093,1210,2.5,20.1,T-19
CNC-2524,CNC-08,5989,1203,2.5,22.0,T-12
CNC-2525,CNC-01,5977,1244,2.5,20.5,T-03
CNC-2526,CNC-01,6045,1175,2.5,20.1,T-13
CNC-2527,CNC-01,5998,1164,2.5,21.7,T-05
CNC-2528,CNC-02,6068,1187,2.5,21.0,T-18
CNC-2529,CNC-02,6007,1199,2.5,23.9,T-12
CNC-2530,CNC-02,6011,1182,2.5,21.7,T-18
CNC-2531,CNC-03,6040,1194,2.5,21.0,T-18
CNC-2532,CNC-03,6105,1206,2.5,22.1,T-12
CNC-2533,CNC-03,6017,1237,2.5,21.0,T-06
CNC-2534,CNC-04,6049,1193,2.5,22.8,T-07
CNC-2535,CNC-04,5938,1206,2.5,21.3,T-18
CNC-2536,CNC-04,5966,1208,2.5,21.1,T-10
CNC-2537,CNC-05,5953,1223,2.5,23.0,T-11
CNC-2538,CNC-05,6040,1214,2.5,22.8,T-08
CNC-2539,CNC-05,5965,1225,2.5,20.9,T-15
CNC-2540,CNC-06,6052,1217,2.5,22.4,T-19
CNC-2541,CNC-06,6037,1200,2.5,18.7,T-06
CNC-2542,CNC-06,5930,1196,2.5,21.1,T-08
CNC-2543,CNC-07,6040,1184,2.5,22.6,T-11
CNC-2544,CNC-07,5942,1222,2.5,21.7,T-12
CNC-2545,CNC-07,6053,1166,2.5,22.6,T-03
CNC-2546,CNC-08,5979,1197,2.5,22.1,T-05
CNC-2547,CNC-08,6075,1175,2.5,19.8,T-03
CNC-2548,CNC-08,5939,1201,2.5,22.1,T-01
CNC-2549,CNC-01,5940,1192,2.5,20.7,T-02
CNC-2550,CNC-01,6015,1190,2.5,19.5,T-18
CNC-2551,CNC-01,5995,1183,2.5,22.1,T-19
CNC-2552,CNC-02,5999,1198,2.5,21.0,T-15
CNC-2553,CNC-02,6052,1170,2.5,21.6,T-08
CNC-2554,CNC-02,5922,1207,2.5,20.7,T-20
CNC-2555,CNC-03,6069,1190,2.5,22.0,T-19
CNC-2556,CNC-03,5942,1191,2.5,21.4,T-05
CNC-2557,CNC-03,6004,1215,2.5,22.2,T-16
CNC-2558,CNC-04,6009,1215,2.5,22.3,T-08
CNC-2559,CNC-04,6089,1179,2.5,20.9,T-16
CNC-2560,CNC-04,5994,1193,2.5,22.6,T-02
CNC-2561,CNC-05,6019,1186,2.5,20.1,T-09
CNC-2562,CNC-05,5979,1180,2.5,20.4,T-18
CNC-2563,CNC-05,5951,1197,2.5,22.6,T-03
CNC-2564,CNC-06,5995,1215,2.5,20.4,T-08
CNC-2565,CNC-06,6004,1198,2.5,20.5,T-16
CNC-2566,CNC-06,6013,1183,2.5,20.7,T-05
CNC-2567,CNC-07,6018,1217,2.5,21.4,T-05
CNC-2568,CNC-07,5956,1195,2.5,20.8,T-04
CNC-2569,CNC-07,5933,1203,2.5,22.0,T-16
CNC-2570,CNC-08,6002,1189,2.5,21.9,T-14
CNC-2571,CNC-08,6063,1206,2.5,21.2,T-17
CNC-2572,CNC-08,6097,1179,2.5,22.9,T-02
CNC-2573,CNC-01,5933,1168,2.5,21.4,T-19
CNC-2574,CNC-01,5988,1182,2.5,22.3,T-10
CNC-2575,CNC-01,6045,1233,2.5,20.7,T-16
CNC-2576,CNC-02,6051,1203,2.5,22.5,T-20
CNC-2577,CNC-02,5992,1231,2.5,19.8,T-17
CNC-2578,CNC-02,5968,1217,2.5,22.9,T-11
CNC-2579,CNC-03,6026,1208,2.5,22.0,T-05
CNC-2580,CNC-03,5914,1190,2.5,20.6,T-17
CNC-2581,CNC-03,5916,1175,2.5,21.0,T-20
CNC-2582,CNC-04,5999,1189,2.5,20.9,T-18
CNC-2583,CNC-04,5997,1199,2.5,21.6,T-20
CNC-2584,CNC-04,5993,1223,2.5,20.4,T-14
CNC-2585,CNC-05,6053,1191,2.5,21.9,T-08
CNC-2586,CNC-05,6072,1231,2.5,20.2,T-13
CNC-2587,CNC-05,6021,1206,2.5,20.2,T-19
CNC-2588,CNC-06,5890,1223,2.5,21.8,T-16
CNC-2589,CNC-06,5972,1207,2.5,22.3,T-18
CNC-2590,CNC-06,5988,1229,2.5,21.0,T-01
CNC-2591,CNC-07,5980,1205,2.5,21.6,T-11
CNC-2592,CNC-07,5968,1212,2.5,21.0,T-14
CNC-2593,CNC-07,5881,1159,2.5,20.5,T-12
CNC-2594,CNC-08,5948,1204,2.5,21.5,T-13
CNC-2595,CNC-08,5946,1191,2.5,20.2,T-12
CNC-2596,CNC-08,5959,1191,2.5,19.7,T-10
CNC-2597,CNC-01,5999,1178,2.5,21.9,T-04
CNC-2598,CNC-01,6035,1208,2.5,22.7,T-06
CNC-2599,CNC-01,5974,1170,2.5,19.4,T-20
CNC-2600,CNC-02,6045,1212,2.5,20.2,T-06
CNC-2601,CNC-02,6047,1190,2.5,19.4,T-16
CNC-2602,CNC-02,6047,1175,2.5,21.4,T-03
CNC-2603,CNC-03,5954,1184,2.5,20.3,T-13
CNC-2604,CNC-03,6030,1210,2.5,23.4,T-20
CNC-2605,CNC-03,6021,1227,2.5,22.7,T-01
CNC-2606,CNC-04,6012,1180,2.5,21.4,T-17
CNC-2607,CNC-04,5943,1180,2.5,20.7,T-08
CNC-2608,CNC-04,6001,1237,2.5,21.5,T-12
CNC-2609,CNC-05,5969,1215,2.5,24.9,T-13
CNC-2610,CNC-05,6008,1187,2.5,21.6,T-19
CNC-2611,CNC-05,5979,1236,2.5,18.9,T-18
CNC-2612,CNC-06,6104,1195,2.5,19.7,T-19
CNC-2613,CNC-06,5951,1205,2.5,23.1,T-07
CNC-2614,CNC-06,6051,1206,2.5,21.4,T-01
CNC-2615,CNC-07,5986,1208,2.5,21.8,T-10
CNC-2616,CNC-07,5972,1210,2.5,23.9,T-17
CNC-2617,CNC-07,6062,1194,2.5,20.1,T-15
CNC-2618,CNC-08,5872,1178,2.5,21.6,T-08
CNC-2619,CNC-08,6037,1182,2.5,21.8,T-19
CNC-2620,CNC-08,6029,1230,2.5,23.0,T-09
CNC-2621,CNC-01,6015,1180,2.5,21.4,T-08
CNC-2622,CNC-01,5999,1207,2.5,21.3,T-12
CNC-2623,CNC-01,5933,1219,2.5,20.7,T-03
CNC-2624,CNC-02,6053,1181,2.5,24.0,T-11
CNC-2625,CNC-02,5985,1248,2.5,21.7,T-19
CNC-2626,CNC-02,6000,1196,2.5,20.7,T-07
CNC-2627,CNC-03,6012,1237,2.5,19.1,T-07
CNC-2628,CNC-03,6068,1205,2.5,20.2,T-20
CNC-2629,CNC-03,5935,1177,2.5,21.8,T-16
CNC-2630,CNC-04,5974,1187,2.5,23.7,T-18
